BSIN,BRAND_NM,BRAND_TYPE_CD,BRAND_LINK
1U7Q8Q,Safeway,2,http://www.safeway.com
2MPPYB,"Primo Taglio",1,http://www.safeway.com
35QVME,Kellogg's,1,http://www.kelloggs.com
57LD68,Lucerne,1,http://www.lucernefoods.com
5KBJDB,"Special K",1,http://www.specialk.fr
5X7JCT,"Billy Boy",1,http://www.billyboy.com
798FK7,Nuk,1,http://www.nuk.com
7M4BEZ,"Mom to Mom",1,http://www.safeway.com
9FGTEC,"Great Value",2,http://www.walmart.com
9N93G7,"Signature cafe",1,http://www.safeway.com
C7RKR4,Spontex,1,http://www.spontex.fr
HKXVAJ,"Member's Mark",1,http://www.samsclub.com
J6LEDT,"Waterfront Bistro",1,http://www.safeway.com
JQZ4VK,Mapa,1,http://www.mapa.fr
KSEREZ,"Priority Total Pet Care",1,http://www.safeway.com
RWQ28Z,"Corn Flakes",1,http://www.kelloggs.com
SSVHJF,Refreshe,1,http://www.safeway.com
VKDHK2,"Sam's Choice Soda",1,http://www.walmart.com
ZWGQ5N,"O Organics",1,http://www.safeway.com
