GPC_S_CD,GPC_F_CD,GPC_C_CD,GPC_B_CD
50000000,50270000,50270100,10000002
50000000,50310000,50310100,10000003
50000000,50290000,50290100,10000005
50000000,50320000,50320100,10000006
50000000,50330000,50330100,10000007
50000000,50340000,50340100,10000008
50000000,50120000,50121900,10000016
50000000,50120000,50121900,10000017
50000000,50120000,50121900,10000018
50000000,50120000,50121700,10000019
50000000,50120000,50121700,10000020
50000000,50120000,50121700,10000021
50000000,50130000,50131700,10000025
50000000,50130000,50131700,10000026
50000000,50130000,50131700,10000027
