GTIN_CD,GTIN_LEVEL_CD,GCP_CD,BSIN,GPC_S_CD,GPC_F_CD,GPC_C_CD,GPC_B_CD,GTIN_NM,PRODUCT_LINE,M_G,M_OZ,M_ML,M_FLOZ,M_ABV,M_ABW,PKG_UNIT,PKG_TYPE_CD,REF_CD,SOURCE,IMG
0073410000267,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"12 Grain","Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410001387,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"7 Grain","Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410003053,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,White,"Sliced Breads - Country",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410003435,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,Sourdough,"Sliced Breads - Country",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410003558,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,Oatmeal,"Sliced Breads - Country",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410005002,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Brick Oven Premium White","Sliced Breads - Specialty",NULL,32,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410012604,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Bakery Light 100% Whole Wheat","Sliced Breads - Light Bread",454,16,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013090,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Nutty Almond","Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013502,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"100% Whole Wheat","Sliced Breads - Country ",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013519,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Honey Whole Wheat","Sliced Breads - Country ",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013540,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Oat Bran","Sliced Breads - Country ",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013557,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,Oatnut,"Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013656,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Health Nut","Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013748,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Double Protein","Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013755,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"100% Whole Wheat","Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410013854,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Healthy Multi-Grain","Sliced Breads - Whole Grains",680,24,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410022504,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Stone Ground 100% Whole Wheat","Sliced Breads - Specialty",454,16,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410025505,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Whole Grain White","Sliced Breads - Soft Family",624,22,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410025529,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Honey Wheat","Sliced Breads - Soft Family",624,22,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
0073410025543,1,0073410,R1TS5M,50000000,NULL,NULL,NULL,"Soft Family Bread","Sliced Breads - Soft Family",624,22,NULL,NULL,NULL,NULL,1,NULL,,arnoldbread.com,1
